,rmse,mae,r2,best_params
catboost,0.2662025952596845,0.08918253249377348,0.9992801194941698,"{'depth': 5, 'learning_rate': 0.29991039712890605, 'l2_leaf_reg': 6.100391985181993, 'n_estimators': 500}"
gbrt,0.28528693023092405,0.0919520569908409,0.9991732016626824,"{'n_estimators': 1200, 'max_depth': 5, 'learning_rate': 0.07334770790871262, 'subsample': 0.7056428303171469}"
xgb,0.29065265339912716,0.11474701214478664,0.9991418080689739,"{'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.10477025659682715, 'subsample': 0.7323101395959087, 'colsample_bytree': 0.7685139946520139, 'reg_alpha': 1.309333481922229e-05, 'reg_lambda': 5.7909471072313906e-05, 'min_child_weight': 0.6055936097336737}"
rf,0.300206483042499,0.17145547335919403,0.9990844628399967,"{'n_estimators': 700, 'max_depth': 40, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.7512692988021438}"
lgbm,0.30654454112467444,0.11657774845389039,0.9990453965134763,"{'n_estimators': 1600, 'num_leaves': 255, 'max_depth': 30, 'learning_rate': 0.1885525837216982, 'subsample': 0.7489940846695569, 'colsample_bytree': 0.849915503310122, 'min_child_samples': 10, 'reg_alpha': 2.266124883292555e-08, 'reg_lambda': 0.008577873427356083}"
svr,0.3424444448277847,0.1540858498975235,0.9988087138473097,"{'C': 172.19749427938774, 'epsilon': 0.002481329817861522, 'gamma': 'auto', 'kernel': 'rbf'}"
gpr,0.35221012962785037,0.2000799430571471,0.9987397998493752,"{'length_scale': 0.5950161125580463, 'noise': 0.005726039906299064}"
dt,0.38563449759833995,0.21738693520306526,0.9984892674106977,"{'max_depth': 30, 'min_samples_split': 4, 'min_samples_leaf': 1}"
knn,1.5001565304624092,1.0927671586945455,0.9771382749892525,"{'n_neighbors': 4, 'weights': 'distance', 'p': 1}"
adaboost,1.6663493407689949,1.3733740115044073,0.9717922821564139,"{'n_estimators': 300, 'learning_rate': 1.997250907451452}"
lasso,3.076719464716389,2.2382870356589613,0.903836194594526,{'alpha': 0.05561482761901011}
elasticnet,3.0817654202059415,2.2432876655374403,0.9035205101823248,"{'alpha': 0.05261950229369919, 'l1_ratio': 0.8912254920136338}"
ridge,3.094061568512914,2.256716248241962,0.902749073907674,{'alpha': 7.249561067043267}
