,rmse,mae,r2,best_params
xgb,0.09262369702517809,0.06573154024393726,0.9999420044147851,"{'n_estimators': 1300, 'max_depth': 5, 'learning_rate': 0.0981801687164391, 'subsample': 0.9606246417000573, 'colsample_bytree': 0.9975089632042117, 'reg_alpha': 4.335752309338318e-05, 'reg_lambda': 0.0015339469297071787, 'min_child_weight': 0.08667949228209403}"
gbrt,0.09829762382708947,0.06619847209429945,0.9999346814175376,"{'n_estimators': 600, 'max_depth': 6, 'learning_rate': 0.1716801365146274, 'subsample': 0.6009760406268342}"
catboost,0.09838205695114201,0.0703726259248256,0.9999345691580476,"{'depth': 4, 'learning_rate': 0.1756326480363994, 'l2_leaf_reg': 7.58028714420655, 'n_estimators': 1200}"
lgbm,0.10460474113984675,0.07860822947506685,0.9999260303693744,"{'n_estimators': 1000, 'num_leaves': 97, 'max_depth': 13, 'learning_rate': 0.12404404068952271, 'subsample': 0.607612412569148, 'colsample_bytree': 0.8063404122232802, 'min_child_samples': 22, 'reg_alpha': 0.0015697874627411618, 'reg_lambda': 0.0001384810772413622}"
gpr,0.11297446827197803,0.08270413502476702,0.9999137197641194,"{'length_scale': 0.9427877924880141, 'noise': 0.001984696986714512}"
svr,0.17723843565410907,0.12184569130021294,0.9997876430259768,"{'C': 366.10685857680744, 'epsilon': 0.02311257180586504, 'gamma': 'auto', 'kernel': 'rbf'}"
rf,0.22493021922127363,0.15332256044895676,0.9996579840776165,"{'n_estimators': 800, 'max_depth': 30, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.9545217728847208}"
dt,0.24626662887206557,0.1578027588597701,0.99959002078208,"{'max_depth': 33, 'min_samples_split': 3, 'min_samples_leaf': 3}"
knn,1.9771566441244406,1.4152945651196043,0.9735739124870164,"{'n_neighbors': 4, 'weights': 'distance', 'p': 1}"
adaboost,2.2148810887610884,1.898877669422769,0.9668371732613401,"{'n_estimators': 700, 'learning_rate': 1.8824278407848483}"
lasso,3.8786085955682745,2.7492151115410373,0.8983042922771575,{'alpha': 0.08423253967691305}
elasticnet,3.8986395973251744,2.7661931894002953,0.8972511686908248,"{'alpha': 0.07169824672635992, 'l1_ratio': 0.7748370383283048}"
ridge,3.9135732266768914,2.7888531489037027,0.8964625080888022,{'alpha': 8.036676085417417}
