iter	RMSE
0	8.784135634
1	8.467577999
2	8.097229289
3	7.771443052
4	7.432130963
5	7.135356421
6	6.860173008
7	6.591950125
8	6.397973795
9	6.154244088
10	5.914412036
11	5.677466176
12	5.47120312
13	5.2616857
14	5.036800994
15	4.891323353
16	4.692966699
17	4.503833069
18	4.346210005
19	4.164960996
20	4.024156636
21	3.858918816
22	3.733386168
23	3.615717395
24	3.491229314
25	3.357426777
26	3.215678951
27	3.110835485
28	2.985603827
29	2.867365134
30	2.752995433
31	2.638965993
32	2.538055446
33	2.445205239
34	2.37220623
35	2.281108704
36	2.206905782
37	2.126074995
38	2.07049741
39	1.994281669
40	1.91891038
41	1.851370172
42	1.783313779
43	1.717193752
44	1.65050257
45	1.605768858
46	1.565688936
47	1.510709331
48	1.469820072
49	1.421046281
50	1.372415178
51	1.323692158
52	1.279667392
53	1.232338997
54	1.187911054
55	1.154140922
56	1.112697191
57	1.073604075
58	1.036096872
59	1.000424381
60	0.9751275788
61	0.9500379797
62	0.9220443154
63	0.8948003069
64	0.8689881781
65	0.8463698603
66	0.8215131491
67	0.8004208669
68	0.7773387709
69	0.7533670222
70	0.7319007168
71	0.7095687817
72	0.6976835981
73	0.6819287438
74	0.6634923032
75	0.647125273
76	0.6294408022
77	0.6121104715
78	0.6002542628
79	0.5868758915
80	0.5704284712
81	0.5547578626
82	0.5421221563
83	0.5285483058
84	0.5145587477
85	0.5033770704
86	0.4911461454
87	0.4797534406
88	0.4673737855
89	0.4559974944
90	0.4445065984
91	0.4347947276
92	0.4243719484
93	0.4161264838
94	0.4078068364
95	0.3992342455
96	0.3920221166
97	0.383421928
98	0.3756770281
99	0.3686802985
100	0.3609374212
101	0.3528818807
102	0.3447596315
103	0.3369396963
104	0.3294123773
105	0.3221682607
106	0.3162678431
107	0.3100218533
108	0.304088571
109	0.2984043889
110	0.2934046802
111	0.2872857447
112	0.2814369963
113	0.2758146579
114	0.2709090619
115	0.2665908935
116	0.2622320469
117	0.2574784367
118	0.2525610054
119	0.2485518781
120	0.244150947
121	0.2397243651
122	0.2362046696
123	0.2322780146
124	0.2284844174
125	0.2247356247
126	0.2212930164
127	0.2174026194
128	0.2138280184
129	0.2104515487
130	0.206753836
131	0.2038546899
132	0.2005266908
133	0.1974865524
134	0.1944842002
135	0.1916244404
136	0.1885797802
137	0.1858431227
138	0.1831455033
139	0.1802625773
140	0.1777084412
141	0.1752587834
142	0.1723462612
143	0.1700377741
144	0.1673204861
145	0.1649704269
146	0.1629254253
147	0.160423144
148	0.1581453554
149	0.1558789586
150	0.153792702
151	0.151437073
152	0.1493007911
153	0.1471389281
154	0.1452918825
155	0.1433131271
156	0.141304558
157	0.1395784256
158	0.1378252955
159	0.1360096105
160	0.1339833149
161	0.1323627352
162	0.1304879447
163	0.1289424773
164	0.1272797809
165	0.1258922305
166	0.1242227739
167	0.1226661034
168	0.1213693364
169	0.1196743681
170	0.1180492758
171	0.1166001349
172	0.1151880847
173	0.1138842912
174	0.1124519624
175	0.1111956803
176	0.1097239192
177	0.1085196218
178	0.1072613171
179	0.106088558
180	0.104697896
181	0.1035526039
182	0.1023085491
183	0.1012146768
184	0.09986472689
185	0.09869414584
186	0.09744775104
187	0.09642875437
188	0.09532103601
189	0.09401799187
190	0.0930593539
191	0.09212082943
192	0.09120125357
193	0.09010509018
194	0.08911545697
195	0.08820209851
196	0.08713881407
197	0.08631559828
198	0.08538835177
199	0.08448941522
200	0.0836666307
201	0.08267251776
202	0.08155789194
203	0.08063018431
204	0.07971785059
205	0.07867767541
206	0.07791940956
207	0.0772065913
208	0.07644007419
209	0.07570607844
210	0.07485926604
211	0.07402253294
212	0.07322958887
213	0.07250897692
214	0.0717528407
215	0.07112288814
216	0.07047026916
217	0.06958513047
218	0.06893272533
219	0.06816138713
220	0.0673362797
221	0.06673842751
222	0.06598700919
223	0.06517918893
224	0.06458089349
225	0.06393422848
226	0.06330534782
227	0.06271516506
228	0.06222266157
229	0.06165589826
230	0.06107744929
231	0.06042860341
232	0.05995558916
233	0.05942544688
234	0.058890907
235	0.05844523913
236	0.05782003461
237	0.05731252866
238	0.05670493318
239	0.05604595892
240	0.05545992256
241	0.0549857495
242	0.0545528803
243	0.05410909099
244	0.05355700259
245	0.05302533934
246	0.05243235309
247	0.05191639472
248	0.05144493747
249	0.05100287872
250	0.05058487074
251	0.05001324276
252	0.04965991559
253	0.04909773666
254	0.04870293649
255	0.04830511115
