iter	Passed	Remaining
0	0	651
1	1	553
2	1	473
3	2	436
4	2	429
5	3	405
6	3	385
7	3	372
8	4	355
9	4	358
10	5	363
11	5	364
12	5	355
13	6	355
14	6	351
15	7	365
16	7	363
17	8	362
18	8	357
19	9	354
20	9	351
21	9	349
22	10	344
23	10	341
24	10	339
25	11	338
26	11	338
27	12	335
28	12	338
29	13	336
30	13	340
31	14	341
32	14	339
33	15	341
34	15	338
35	15	336
36	16	338
37	16	338
38	17	342
39	17	341
40	18	343
41	19	346
42	19	346
43	20	349
44	20	348
45	21	346
46	21	345
47	22	345
48	22	347
49	23	347
50	23	348
51	24	349
52	24	350
53	25	349
54	25	350
55	26	354
56	27	353
57	27	353
58	28	353
59	28	354
60	29	356
61	29	354
62	30	353
63	30	354
64	31	354
65	31	352
66	32	358
67	33	362
68	34	361
69	34	361
70	35	361
71	35	361
72	36	359
73	36	359
74	37	359
75	37	360
76	38	360
77	39	361
78	39	363
79	40	364
80	41	366
81	41	367
82	42	365
83	42	366
84	43	366
85	44	365
86	44	364
87	45	365
88	45	366
89	46	367
90	47	370
91	48	372
92	49	373
93	49	372
94	50	373
95	50	373
96	51	374
97	52	374
98	52	374
99	53	375
100	54	375
101	54	375
102	55	376
103	56	377
104	57	377
105	57	378
106	58	379
107	59	379
108	59	379
109	60	380
110	61	380
111	62	382
112	63	383
113	63	383
114	64	384
115	65	384
116	65	384
117	66	385
118	67	386
119	68	386
120	68	386
121	69	385
122	70	385
123	70	386
124	71	385
125	72	385
126	72	385
127	73	386
128	74	387
129	75	387
130	75	387
131	76	389
132	77	390
133	78	390
134	79	390
135	79	390
136	80	389
137	81	390
138	82	390
139	82	390
140	83	390
141	84	390
142	84	390
143	85	390
144	86	389
145	86	389
146	87	389
147	88	388
148	89	388
149	89	389
150	90	389
151	91	390
152	92	390
153	93	390
154	93	389
155	94	389
156	94	389
157	95	388
158	96	388
159	96	387
160	97	387
161	98	388
162	99	388
163	100	387
164	100	387
165	101	387
166	102	386
167	102	386
168	103	386
169	104	385
170	104	385
171	105	384
172	106	384
173	106	384
174	107	384
175	108	383
176	108	383
177	109	382
178	110	382
179	110	381
180	111	381
181	112	380
182	112	380
183	113	379
184	114	379
185	114	379
186	115	378
187	116	378
188	117	378
189	117	378
190	118	378
191	119	377
192	119	377
193	120	377
194	121	377
195	122	376
196	122	376
197	123	376
198	124	375
199	125	375
200	125	375
201	126	374
202	127	374
203	127	373
204	128	372
205	129	372
206	129	372
207	130	371
208	131	371
209	131	370
210	132	370
211	133	369
212	133	368
213	134	368
214	135	368
215	136	367
216	136	367
217	137	366
218	137	365
219	138	365
220	139	364
221	139	364
222	140	363
223	141	363
224	141	362
225	142	361
226	143	361
227	143	360
228	144	360
229	145	359
230	145	359
231	146	358
232	147	358
233	147	357
234	148	357
235	149	357
236	150	356
237	150	356
238	151	355
239	152	355
240	152	354
241	153	353
242	153	352
243	154	352
244	155	351
245	155	350
246	156	350
247	157	350
248	157	349
249	158	349
250	159	348
251	160	348
252	161	348
253	161	347
254	162	346
255	163	346
256	163	345
257	164	345
258	165	345
259	166	345
260	166	344
261	167	343
262	168	343
263	168	342
264	169	341
265	169	340
266	170	340
267	171	339
268	171	338
269	172	338
270	173	337
271	173	337
272	174	336
273	175	336
274	175	335
275	176	334
276	177	334
277	177	333
278	178	333
279	178	332
280	179	332
281	180	331
282	181	331
283	181	330
284	182	329
285	183	329
286	183	328
287	184	327
288	185	327
289	185	326
290	186	326
291	187	325
292	187	324
293	188	324
294	189	323
295	189	323
296	190	322
297	191	321
298	191	321
299	192	320
300	193	320
301	194	319
302	194	319
303	195	318
304	196	318
305	196	317
306	197	316
307	197	316
308	198	315
309	199	314
310	199	314
311	200	313
312	201	313
313	201	312
314	202	311
315	203	311
316	203	310
317	204	309
318	205	309
319	205	308
320	206	308
321	207	307
322	208	307
323	208	306
324	209	306
325	210	305
326	210	304
327	211	304
328	212	303
329	212	303
330	213	302
331	214	301
332	214	301
333	215	300
334	216	300
335	216	299
336	217	298
337	217	297
338	218	297
339	219	296
340	219	295
341	220	295
342	221	294
343	221	293
344	222	293
345	223	293
346	224	292
347	225	292
348	226	292
349	227	291
350	227	291
351	228	291
352	229	290
353	230	290
354	231	290
355	232	290
356	233	290
357	234	289
358	235	289
359	236	288
360	236	287
361	237	287
362	240	289
363	241	289
364	242	288
365	243	288
366	244	288
367	245	288
368	246	287
369	246	286
370	247	286
371	248	285
372	248	284
373	249	284
374	250	283
375	250	282
376	251	282
377	252	281
378	253	281
379	255	281
380	256	281
381	257	281
382	257	280
383	258	280
384	259	279
385	260	279
386	261	279
387	262	278
388	263	278
389	263	277
390	264	276
391	265	276
392	267	277
393	268	276
394	269	276
395	270	275
396	271	275
397	272	275
398	273	274
399	274	274
400	274	273
401	275	272
402	276	272
403	277	272
404	278	271
405	279	270
406	279	270
407	280	269
408	281	269
409	282	269
410	283	268
411	284	267
412	285	267
413	286	267
414	287	266
415	288	265
416	288	265
417	289	264
418	290	264
419	291	263
420	292	263
421	292	262
422	293	261
423	294	260
424	294	260
425	296	260
426	297	260
427	298	259
428	300	259
429	301	259
430	301	258
431	302	257
432	303	256
433	303	256
434	305	256
435	306	255
436	306	254
437	307	254
438	308	253
439	309	252
440	310	252
441	311	252
442	312	251
443	313	251
444	314	251
445	315	250
446	316	249
447	317	249
448	317	248
449	318	248
450	320	247
451	321	247
452	321	246
453	322	245
454	323	244
455	323	244
456	324	243
457	325	243
458	326	242
459	327	241
460	328	241
461	329	241
462	330	240
463	331	239
464	331	239
465	332	238
466	334	238
467	334	237
468	335	236
469	336	236
470	337	235
471	337	234
472	339	234
473	340	234
474	341	233
475	342	233
476	343	232
477	344	232
478	345	231
479	345	230
480	347	230
481	348	229
482	349	229
483	349	228
484	350	227
485	351	227
486	352	226
487	353	226
488	354	225
489	355	224
490	356	224
491	357	223
492	358	223
493	359	222
494	360	222
495	361	221
496	362	221
497	363	220
498	364	219
499	364	218
500	365	218
501	365	217
502	367	216
503	367	216
504	369	215
505	370	215
506	371	214
507	372	214
508	373	213
509	374	213
510	377	213
511	378	213
512	379	212
513	380	211
514	381	211
515	383	210
516	384	210
517	387	210
518	388	210
519	389	209
520	390	208
521	391	208
522	392	208
