model,MAE,RMSE,R2
xgb,0.06210434095649803,0.09143449025668599,0.9999434840791841
gpr,0.08270407769894157,0.11297442669241321,0.9999137198276291
lgbm,0.09453001854532392,0.12106661327015732,0.999900916919809
dt,0.11731928294252876,0.16930827552361113,0.9998062208331318
svr,0.15517356766902057,0.2512189545305082,0.9995733659442869
gbrt,0.17789938488199877,0.2573429006366301,0.9995523123691515
catboost,0.20291469051438338,0.36880189984161627,0.9990805311703719
histgbr,0.342212821686403,0.43297637879032264,0.9987327009199498
rf,1.0105321763721054,1.2785676469191407,0.9889490876734663
adaboost,2.0928950531767043,2.6186201150950934,0.9536450933231246
knn,2.6681983981042965,3.430654574503804,0.9204381824252074
lasso,2.772886563788586,3.8882583754482973,0.8977976353493355
elasticnet,2.773284702875365,3.8889767856711015,0.8977598652222224
ridge,2.7743286499997777,3.8915216070720806,0.8976260161277059
